age,income,loan_amount,credit_score,employment_years,existing_loans,loan_term,interest_rate,default
48,40786,279983,796,10,2,24,15.69,1
22,21275,105766,318,9,3,48,15.67,1
62,58791,455281,361,39,3,36,13.18,1
26,85353,367759,638,34,2,48,12.72,1
48,119135,287236,656,12,0,60,17.18,1
48,64402,5962,440,6,1,60,15.04,0
64,91868,5162,848,38,4,24,17.4,1
64,57245,19181,674,35,0,48,10.52,1
40,30077,398546,461,14,3,24,7.17,1
50,123283,234347,532,26,3,36,15.07,1
31,133721,47739,437,20,2,60,12.2,1
48,65654,497527,547,30,4,24,12.08,1
45,76663,192498,505,7,4,48,10.35,1
59,21600,179195,748,22,3,48,22.38,1
53,85580,459497,314,25,0,48,8.62,1
21,31411,15838,300,6,2,24,12.67,1
47,79364,411212,621,35,4,12,5.06,1
33,56860,237861,546,9,4,36,19.11,1
61,80636,407340,652,23,0,48,20.22,1
23,30383,488983,369,36,3,48,9.99,1
59,71546,321685,425,4,3,12,22.33,1
26,145771,172366,515,17,1,36,6.96,1
28,144386,337404,366,1,0,12,12.03,1
47,49221,77800,453,31,2,36,12.5,1
29,109843,47751,533,12,1,36,13.63,1
57,117863,48009,675,29,1,36,19.2,0
53,88353,416821,726,0,1,48,19.08,1
62,114819,334732,714,37,2,12,8.06,1
64,125417,62900,419,37,2,60,8.51,1
44,96248,257460,626,25,2,12,11.81,1
35,30964,81518,492,12,2,12,19.64,1
52,49195,14212,759,35,3,12,6.32,0
52,83885,29379,356,36,0,48,9.5,1
44,27157,480790,775,36,2,48,17.66,1
61,137445,324867,460,36,1,12,16.75,1
32,77214,456113,727,22,0,60,13.62,1
59,28885,23817,347,10,0,60,16.43,0
22,122922,439647,428,18,1,48,19.97,1
23,94127,467492,393,3,3,36,11.26,1
57,15389,407012,316,19,4,60,20.61,1
37,31519,87644,382,10,4,48,22.71,1
22,50224,218144,728,16,1,48,17.63,1
22,72944,96541,630,18,2,24,12.24,1
48,38497,361690,738,36,3,12,22.1,1
43,135784,237637,479,39,3,60,23.17,1
57,53274,119555,506,12,4,24,11.11,1
52,89931,310804,680,0,4,24,6.58,1
53,24913,183365,838,7,0,36,5.98,1
21,122101,283437,527,38,0,48,11.1,1
39,49237,276743,622,36,2,24,9.47,1
22,94987,204864,447,11,2,24,11.6,1
64,45964,97448,517,19,3,12,13.28,1
46,114610,399494,707,37,4,12,23.18,1
52,20332,212392,709,8,0,60,15.29,1
26,41263,203967,377,17,1,12,19.14,1
52,62554,219411,560,27,4,24,20.71,1
24,122544,452190,453,31,0,36,19.36,1
31,68480,482434,587,1,3,60,13.94,1
37,86863,461618,335,30,4,24,21.26,1
58,62354,401347,538,28,0,48,14.74,1
44,54709,228552,657,11,0,60,24.38,1
25,82933,278559,595,20,4,36,23.15,1
54,30698,356300,702,14,4,36,10.54,1
26,120463,378176,686,14,4,24,6.74,1
42,47954,490410,410,9,2,24,18.08,1
31,77884,330804,744,36,0,12,8.86,1
36,82100,258380,571,25,2,12,18.42,1
53,115213,166420,414,37,4,24,5.65,1
29,121773,420903,487,11,1,60,16.15,1
26,36266,121406,694,34,3,48,10.29,1
36,126847,163569,332,18,3,36,19.44,1
49,28789,228770,414,8,3,48,8.52,1
23,129624,474506,744,23,0,60,12.57,1
40,57608,385544,837,25,2,24,18.4,1
56,45667,293062,802,31,2,60,11.6,1
39,83234,253187,827,18,4,48,11.6,1
46,62929,328244,325,20,4,48,13.65,1
23,139177,362461,402,3,3,36,6.15,1
39,95789,40524,815,13,1,48,10.35,1
40,94671,464306,448,13,3,12,17.58,1
52,73561,453468,416,38,4,36,21.74,1
27,97191,399362,779,0,4,36,18.28,1
61,131011,464787,413,13,2,36,14.88,1
53,121055,161635,381,36,0,48,17.14,1
60,30117,187986,345,0,2,24,8.28,1
59,99872,182294,416,34,1,60,8.04,1
38,31714,451588,349,21,4,12,16.39,1
60,104869,173229,464,16,1,60,9.83,1
21,126452,68805,493,31,4,12,5.02,1
31,145041,357546,649,33,0,48,24.96,1
48,22184,125047,782,37,1,60,6.2,1
45,63339,279540,706,36,4,48,12.6,1
43,59896,304279,453,10,1,60,8.6,1
51,33557,153452,805,30,0,60,15.8,1
50,117013,10823,481,25,3,60,12.93,0
62,70039,215574,476,0,1,60,21.42,1
55,100120,88167,678,32,2,48,12.28,1
27,51492,186311,780,36,4,60,19.94,1
36,67685,343873,814,39,1,24,17.85,1
46,134753,150658,681,33,2,24,21.11,1
22,139683,400855,305,5,3,48,11.13,1
21,19693,59112,691,36,4,48,19.88,1
32,63401,448047,524,6,3,24,22.06,1
25,141290,295195,425,0,0,48,18.05,1
57,41957,390700,725,19,2,60,23.87,1
52,131552,483438,575,36,2,48,6.04,1
29,125423,259844,510,10,2,60,14.36,1
61,52010,86439,610,4,3,12,6.36,1
55,25251,40401,575,22,2,60,17.87,1
39,37343,136471,611,28,0,48,12.95,1
36,102943,443148,670,27,0,48,12.05,1
23,86734,201479,659,5,0,24,22.77,1
40,111485,359067,461,34,4,60,19.57,1
44,129643,189375,564,17,1,48,22.84,1
53,49385,262114,365,1,4,60,10.06,1
44,53848,293042,845,16,1,60,14.28,1
31,125538,176902,394,28,1,24,24.39,1
28,127174,216387,365,1,1,36,24.21,0
56,147971,398205,577,31,4,60,11.36,1
58,115338,255417,499,32,1,60,11.28,1
60,28983,127938,528,16,0,36,12.91,1
40,37706,340955,527,4,2,12,19.02,1
55,35357,204564,790,30,0,36,19.73,1
45,42528,60698,799,9,1,36,11.2,1
55,44223,45043,558,12,3,48,11.89,1
45,64877,350073,334,3,0,48,14.8,1
49,59487,425814,758,25,0,12,12.41,1
38,129167,85677,544,3,0,48,23.16,0
38,109197,53794,451,20,0,60,23.13,1
22,92137,78065,448,24,1,36,7.02,1
55,25675,296792,495,16,3,48,21.24,1
36,60221,157521,763,38,1,36,13.28,1
61,104020,204971,438,36,2,48,22.65,1
56,65711,102895,701,31,3,24,12.3,1
53,51978,493836,802,14,3,36,10.72,1
24,44022,157114,506,32,1,12,8.65,1
53,100251,28409,364,1,0,12,22.61,1
34,52739,486199,735,29,3,24,23.49,1
41,98169,334754,338,5,4,60,8.44,1
40,19226,491970,392,33,0,60,5.96,1
28,115258,276669,697,15,4,48,23.22,1
27,103897,42787,819,20,3,24,9.17,0
23,121844,473419,486,2,4,24,19.0,1
37,58478,313038,377,38,3,36,22.28,1
53,56073,385679,414,38,3,36,21.39,1
32,21161,311190,636,4,4,60,7.11,1
42,112465,277360,652,9,1,12,12.49,1
42,53229,137380,775,27,2,36,13.33,1
50,16628,333422,347,12,4,48,8.19,1
58,88516,35920,544,22,2,24,11.59,1
58,117542,449307,687,1,3,36,10.74,1
28,61892,426056,600,30,2,12,18.32,1
47,92411,418190,535,15,3,24,23.01,1
47,37980,69673,769,0,3,60,24.44,1
54,65451,15237,446,18,3,12,19.33,1
41,141630,260241,489,20,3,60,5.08,1
50,36798,261890,589,8,2,36,22.07,1
53,116320,208368,629,26,4,12,24.04,1
48,24589,18103,831,26,4,60,10.37,1
53,126251,245709,458,9,2,24,23.74,1
25,95633,53024,486,9,4,12,24.32,1
39,122656,379631,465,33,1,12,17.59,1
24,63222,348848,749,2,1,12,14.16,1
55,21381,215278,844,25,1,36,18.86,1
37,105907,302037,508,16,2,60,17.94,1
64,71615,187666,366,15,0,24,7.97,1
48,83453,35475,407,3,1,48,6.31,1
50,42115,113242,393,36,3,60,23.99,1
49,19353,167473,460,31,0,48,5.66,1
26,91162,396387,593,31,2,24,20.85,1
55,84901,274364,384,17,0,12,12.28,1
61,41576,484954,547,0,0,36,22.6,1
57,128506,164644,849,27,2,48,14.49,1
44,100038,138676,380,32,2,48,14.5,1
49,58701,448490,340,21,2,60,14.21,1
51,106837,294814,595,14,0,12,18.62,1
55,139390,77635,305,29,0,48,20.16,0
53,98661,276439,464,38,0,60,24.0,1
41,42468,467325,781,7,0,36,13.01,1
52,139854,165484,348,9,0,36,11.07,1
43,54123,335299,485,29,3,48,7.64,1
53,87599,427932,826,4,2,12,18.7,1
23,32173,180674,334,17,1,24,12.9,1
38,76194,118831,755,11,3,24,11.04,1
45,136110,238728,750,1,4,24,7.4,1
62,68621,258805,798,5,1,60,22.08,1
51,79213,236155,682,12,0,48,23.05,1
23,120959,17516,514,8,1,24,13.46,0
60,148181,297760,368,21,1,48,12.99,1
44,136710,393111,641,8,0,12,11.7,1
52,44145,478085,694,11,1,48,16.47,1
42,92935,485544,619,7,2,36,22.87,1
43,85621,130912,460,7,4,60,14.97,1
22,95195,235421,579,23,1,36,7.01,1
47,36274,144074,515,3,2,24,6.33,1
62,121057,159818,610,14,4,36,7.66,0
22,25987,79282,782,6,0,48,15.27,0
46,143603,430907,305,30,2,36,20.22,1
37,77538,431046,846,18,3,12,16.17,1
60,142571,375027,657,32,4,48,20.86,1
53,125324,311712,789,23,2,36,5.2,1
29,103291,10413,644,36,3,24,24.87,1
63,79082,319036,813,20,0,24,8.83,1
59,22148,137831,819,14,3,24,14.97,1
49,45900,38372,602,2,4,60,7.49,1
62,26771,477645,671,27,0,12,18.11,1
46,81461,489821,586,36,4,48,7.95,1
55,53989,319312,395,19,3,48,8.38,1
45,47996,27921,360,11,0,36,15.02,1
44,41997,318782,736,31,1,60,6.67,1
33,44488,29461,300,25,3,48,5.94,1
27,124752,190852,536,3,0,24,16.82,1
56,37975,379254,555,10,1,48,5.35,1
40,52310,107758,749,34,3,60,6.33,1
21,79254,277196,435,32,0,24,23.45,1
28,108264,75470,771,39,2,24,20.87,1
36,118197,136431,617,36,1,60,16.41,1
34,40809,197309,328,2,1,36,10.81,1
32,120730,173759,564,9,0,24,23.77,1
43,58995,489813,428,8,4,24,16.36,1
35,139189,221376,644,16,2,24,11.03,1
48,72812,330262,371,8,4,60,15.23,1
54,74760,309509,412,11,1,24,22.97,1
22,141675,183387,669,27,4,36,11.8,1
52,119419,25200,518,35,1,36,11.4,1
43,32507,158236,729,19,3,48,21.29,1
42,49388,187090,753,1,0,12,17.36,1
45,77164,491467,413,39,2,48,21.09,1
42,100894,117280,308,30,0,60,13.91,1
42,72095,167625,529,30,3,48,9.73,1
62,95469,256201,368,18,1,24,16.59,1
26,114774,311906,710,13,4,60,15.76,1
35,128855,99814,532,1,0,36,7.89,1
63,91189,246966,419,14,1,12,6.37,1
57,130964,388087,731,32,2,24,23.5,1
53,117945,246991,335,3,1,36,12.46,1
28,22176,264716,812,17,3,60,15.8,1
64,88915,17181,387,1,4,24,9.25,1
64,60663,18674,387,2,0,12,12.56,1
25,21788,85580,680,12,2,36,8.0,1
59,21282,189743,682,12,2,60,12.1,1
24,127218,307639,611,5,3,12,9.72,1
26,20375,89645,409,0,4,24,6.78,1
52,33610,120014,660,29,4,12,21.61,1
50,133781,439712,486,11,2,60,17.18,1
55,140194,292298,307,1,4,12,15.86,1
60,147412,313312,487,34,3,12,18.8,1
36,88519,58241,319,27,3,12,20.05,1
33,122345,132070,694,3,0,12,5.51,0
62,47088,10997,780,36,2,12,19.42,0
50,126318,102584,312,3,0,36,22.33,1
39,89063,47409,369,28,3,12,8.16,1
37,105915,210391,813,3,3,48,23.04,1
39,77294,394427,660,33,1,24,14.37,1
48,61661,439495,659,15,0,24,8.56,1
46,89090,253661,601,4,3,12,14.25,1
57,61185,313338,580,22,2,48,7.21,1
46,83105,159332,719,31,0,36,12.41,1
43,104301,43603,398,39,1,48,15.06,1
29,108142,223741,388,23,1,60,14.88,1
32,26578,451893,689,24,3,24,7.03,1
21,119358,104370,384,19,2,24,9.42,1
21,45202,79558,634,16,2,36,11.68,1
54,94963,197896,761,6,4,12,23.2,1
52,39381,383521,364,18,4,24,17.43,1
45,99005,243281,494,19,1,12,5.84,1
60,143730,327558,731,31,4,60,22.12,1
21,54615,177120,381,25,1,48,17.68,1
36,20802,113163,322,11,0,36,12.2,1
59,118533,164569,673,29,0,24,8.74,0
25,129831,428995,497,37,4,12,11.94,1
42,26841,460978,497,8,1,36,7.79,1
49,116572,476623,631,13,0,12,24.4,1
23,79660,366734,651,36,1,60,16.79,1
32,127187,496408,776,10,0,60,19.38,1
46,115489,138509,794,11,2,12,20.12,0
36,33921,138033,560,17,2,12,21.21,1
57,46443,58675,819,34,3,12,20.43,1
42,30016,237084,526,32,3,24,14.87,1
49,93755,479113,826,32,4,24,15.81,1
34,128264,94484,808,32,1,24,13.83,1
48,44012,231847,377,4,0,36,15.92,1
25,102617,100948,418,24,1,24,12.08,1
50,115064,354724,475,5,4,24,15.72,1
25,92974,257036,451,27,3,24,18.59,1
32,36251,378365,343,34,4,36,15.58,1
36,52860,495329,309,10,4,48,24.05,1
46,63201,16772,380,14,1,48,5.41,1
46,92919,137069,553,13,2,12,21.84,1
41,109499,258279,794,32,3,48,11.35,1
59,84936,356855,820,29,1,60,10.66,1
56,66922,298329,615,17,1,12,16.39,1
53,40344,236952,775,31,0,24,7.96,1
50,138865,70491,652,5,4,12,17.99,1
57,128581,435478,552,5,1,48,7.45,1
43,39780,414019,321,7,4,24,22.43,1
30,73210,242262,619,6,3,36,21.75,1
25,15661,216694,789,16,0,60,16.94,1
56,81214,211787,450,21,0,60,7.32,1
54,72146,181840,578,32,4,12,12.15,1
51,67452,178995,816,7,2,48,20.92,1
30,59505,134517,426,38,2,12,23.4,1
39,131953,228520,505,5,3,60,23.59,1
52,117594,344834,376,2,3,48,18.37,1
21,20647,209974,778,22,0,12,19.76,1
25,72083,181490,368,36,0,24,15.38,1
24,120010,393736,714,0,3,12,16.2,1
36,43979,314799,311,28,3,60,19.22,1
44,48288,408316,387,14,2,12,17.98,1
36,61698,300496,710,27,4,24,12.49,1
22,18884,272285,782,36,1,24,19.85,1
48,131564,486305,839,6,0,36,6.03,1
52,50509,456874,768,10,1,36,23.79,1
47,46649,122280,447,9,1,48,23.2,1
40,111068,91537,535,4,2,36,15.26,1
44,113954,344644,609,8,3,48,16.25,1
32,26036,137730,502,29,3,12,6.15,1
55,99571,77594,556,34,4,60,22.83,1
53,24747,42059,417,13,2,60,13.49,1
53,61692,181978,409,20,2,48,17.37,1
63,71777,479246,831,24,2,48,9.02,1
57,77108,399891,405,20,0,48,5.18,1
32,122008,476642,671,27,2,12,24.45,1
23,65387,24871,766,28,0,24,20.58,1
21,21277,62114,526,12,4,48,16.28,1
53,90877,330048,679,19,1,12,13.74,1
60,132120,498140,371,17,0,60,19.95,1
30,38613,378045,778,20,2,36,14.34,1
63,147031,287564,768,21,1,36,21.43,0
64,67100,175322,405,39,1,60,7.46,1
49,121940,82938,727,5,3,12,5.36,0
33,34923,57211,414,10,3,48,8.57,1
32,24227,461052,720,20,2,36,12.4,1
51,83580,57742,487,3,4,24,24.93,1
22,128767,129237,308,36,0,48,5.47,1
55,137478,340560,417,19,1,48,22.79,1
43,114590,87980,402,20,1,24,10.7,1
37,90186,170169,746,14,4,12,22.7,1
46,114934,441604,373,8,0,24,8.06,1
28,100947,411408,481,33,1,36,20.62,1
49,34500,104716,798,37,0,12,24.22,1
46,108066,495549,774,4,1,12,5.99,1
30,28024,419255,542,21,1,60,15.75,1
46,44088,431248,349,17,4,60,14.78,1
54,134770,56891,587,22,4,60,17.0,0
61,142393,242802,757,33,1,48,21.14,1
27,57440,117669,540,26,3,60,11.01,1
24,113739,210133,567,0,2,24,6.89,1
31,103797,376899,596,10,4,48,15.25,1
49,143848,440458,680,24,1,60,12.82,1
56,32349,326203,349,12,1,24,21.42,1
45,146287,216095,574,12,4,48,21.62,1
41,35704,47651,735,36,2,48,10.01,1
56,143245,216622,528,20,1,48,21.58,1
30,148777,266814,428,12,0,48,16.34,1
57,96598,317138,506,38,1,48,18.8,1
29,56732,456792,630,18,1,24,18.02,1
44,145241,139225,624,28,0,60,9.17,0
55,46233,149882,714,16,3,48,11.41,1
55,136124,472664,468,28,1,12,13.96,1
56,108267,267808,527,14,4,60,11.76,1
38,88658,446704,372,36,4,60,17.97,1
59,141160,347285,673,23,2,36,12.31,1
52,88785,464220,744,27,2,36,5.91,1
44,19743,337042,568,23,0,48,14.79,1
43,135138,436790,833,12,1,48,21.78,1
52,64612,380066,746,5,1,36,12.94,1
57,89696,31627,659,9,0,36,10.54,1
32,47068,319290,647,15,0,48,8.6,1
33,22629,310768,373,29,2,60,8.3,1
43,146361,199849,426,36,0,48,8.53,1
45,108397,385327,521,14,2,60,24.66,1
55,30791,377806,780,9,1,36,21.75,1
61,79407,80025,449,10,1,12,5.14,0
50,103312,346499,456,36,3,12,22.05,1
37,40308,218522,364,9,1,60,19.56,1
40,136356,299865,321,22,1,36,5.39,1
45,137673,323606,388,13,4,24,13.11,1
42,95986,436690,377,9,4,48,8.08,1
33,120152,388115,303,35,1,36,14.29,1
39,19937,61098,659,7,2,24,11.25,1
56,91519,30123,306,25,1,12,9.15,0
32,111422,202364,831,1,3,48,17.57,1
61,46994,75897,795,31,0,36,7.29,0
39,144272,388371,755,38,4,12,24.92,1
32,59477,403479,721,22,1,24,21.55,1
29,46881,395139,524,30,0,24,7.46,1
27,137822,499811,350,38,0,60,10.24,1
48,143941,361523,783,27,3,24,14.1,1
34,19437,476782,805,23,4,36,22.09,1
51,84456,170163,767,34,2,36,5.9,1
39,81663,325419,698,2,1,24,18.74,1
36,70753,383298,332,25,1,36,18.37,1
25,89718,71973,744,13,3,48,7.91,1
55,100406,323479,368,3,0,12,23.73,1
32,79388,189143,426,18,2,60,11.91,1
45,52495,372216,420,16,4,48,12.51,1
41,65203,54747,473,8,2,60,10.33,1
56,45487,346000,623,36,4,36,11.04,1
43,132275,168964,692,4,4,60,18.0,1
36,19867,33717,813,29,2,36,12.29,0
59,89599,116492,438,27,1,36,11.93,1
62,70984,272998,328,32,3,36,20.25,1
59,62455,231577,814,25,1,12,12.43,1
34,76138,213299,573,1,0,24,17.25,1
51,133108,112733,408,19,3,12,7.84,1
25,96774,280265,549,15,1,60,20.71,1
55,23182,267777,320,35,0,12,9.43,1
43,113272,350585,461,17,2,48,7.9,1
49,24192,358721,341,2,2,24,22.13,1
63,92159,90314,366,38,4,60,17.5,1
31,55256,432867,355,8,3,48,15.99,1
38,20097,93906,654,16,0,24,21.74,1
32,131081,21969,302,14,0,36,5.56,1
29,82407,452571,696,13,1,60,21.48,1
30,93709,177638,470,24,2,24,13.5,1
64,133854,346940,777,38,4,48,10.13,1
37,42708,108986,603,39,0,48,8.53,1
58,52307,70964,436,35,2,36,5.75,1
27,58524,433463,664,10,3,60,11.56,1
33,81929,166523,513,23,2,36,18.81,1
60,78804,480766,520,36,1,24,16.21,1
62,42668,255773,376,18,1,36,19.86,1
29,25937,399321,729,33,0,24,10.61,1
47,32104,178067,350,16,4,12,23.29,1
22,19326,360254,329,6,4,12,21.38,1
25,84133,294121,414,1,0,24,19.79,1
49,52727,185268,749,9,2,36,16.41,1
57,55526,73187,808,28,4,36,16.2,1
58,43341,358726,337,0,2,24,21.41,1
39,75493,38451,612,18,1,24,18.42,1
28,80295,107158,444,18,0,24,8.27,1
21,126833,282883,432,28,2,12,16.95,1
42,47700,85610,845,13,1,12,12.42,0
37,21243,80152,488,31,2,24,15.55,1
27,54060,376685,302,1,3,60,18.22,1
45,96280,291282,630,14,1,24,20.05,1
24,145202,417988,606,22,4,36,23.09,1
56,39970,60708,573,5,2,12,20.45,0
26,15375,30331,687,35,3,12,6.16,1
51,119050,194528,775,36,2,48,7.86,1
39,107312,389003,352,1,3,60,9.12,1
64,105524,453041,662,19,2,60,18.44,1
59,95010,345181,737,37,1,48,7.21,1
47,78255,168991,659,24,1,24,13.12,1
30,53923,45948,358,20,2,60,21.13,0
46,103198,64410,598,15,1,12,18.89,1
39,30271,244656,739,26,4,36,6.09,1
59,144104,242146,452,38,2,60,9.76,1
23,130781,383578,453,29,3,36,16.13,1
33,77030,83318,804,7,3,36,6.35,1
48,38519,287984,826,7,1,12,13.25,1
40,146782,359444,487,0,0,24,22.79,1
48,43026,222054,352,22,2,48,17.24,1
28,104381,465865,369,32,2,24,13.48,1
61,133174,424674,523,6,1,12,22.18,1
59,19892,170951,418,27,0,12,6.87,1
21,133187,339279,788,12,4,24,18.54,1
23,50995,348179,550,17,2,48,12.7,1
33,143835,199076,641,28,4,48,15.44,1
48,103340,325924,849,36,2,24,5.3,1
45,120736,341085,610,29,4,48,17.51,1
53,140220,383141,335,22,1,24,24.81,0
58,32851,230864,843,15,3,48,6.95,1
26,49326,187980,808,19,1,12,24.61,1
64,58479,11013,393,18,0,24,6.23,1
52,53025,153067,625,32,2,24,7.58,1
41,38365,213908,757,2,3,60,16.36,1
36,86060,475894,514,16,2,24,22.83,1
41,125948,473097,831,9,3,36,7.22,1
31,83410,470440,581,16,2,48,23.85,1
57,121325,85643,830,30,0,24,10.14,1
56,141526,374079,445,2,4,36,10.7,1
55,87493,159185,514,34,2,60,6.68,1
39,34076,343360,638,32,2,12,10.6,1
40,26261,325352,341,39,0,12,14.62,1
38,93247,490633,579,34,3,48,11.13,1
61,54534,394244,588,35,1,60,15.11,1
