age,income,loan_amount,credit_score,employment_years,existing_loans,loan_term,interest_rate,default
49,123409,220034,790,2,4,12,11.81,0
38,42757,38812,440,24,4,12,21.45,0
38,61664,229589,681,21,4,36,6.25,0
22,141226,9893,581,10,4,48,14.89,0
55,30205,223680,505,10,1,60,14.51,1
36,75207,145342,462,7,0,24,11.2,0
61,35994,149385,724,36,3,48,16.71,1
56,136409,58551,433,27,0,60,23.11,0
53,101170,293277,787,19,0,24,5.67,0
24,123502,337940,794,21,3,24,8.3,0
53,45569,105440,762,10,2,12,12.37,0
34,110711,466679,379,22,2,24,19.98,1
41,125702,400050,392,33,4,36,23.86,1
40,21626,307666,363,33,1,60,9.13,1
28,116159,34679,845,23,2,36,11.55,0
27,18964,150993,809,2,3,48,17.27,1
23,127794,25784,584,29,2,48,15.49,0
37,33058,451187,718,22,1,24,14.67,1
53,120182,18476,492,0,2,60,11.42,0
32,19433,77920,752,17,0,24,16.12,0
42,98747,444659,750,36,0,36,18.4,0
42,91227,348842,658,2,0,12,24.01,0
50,46063,167322,697,23,0,36,6.27,0
58,48484,402595,473,24,0,60,12.24,1
58,101780,179075,326,1,4,36,14.47,0
28,105196,61681,712,21,4,24,16.23,0
47,45084,454903,556,8,4,12,18.06,1
47,129455,456000,837,15,3,60,6.39,0
54,39802,467706,704,15,3,36,18.03,1
41,72012,325956,600,14,4,60,17.72,1
50,129610,334642,712,6,2,12,12.56,0
53,84922,90368,317,26,1,24,21.36,0
48,23157,434551,427,17,0,48,6.65,1
53,63742,445507,413,6,2,12,18.82,1
25,22675,389649,445,21,4,24,11.22,1
39,41228,89814,490,12,1,12,19.32,0
24,33251,213735,830,18,4,48,8.54,1
55,38349,433994,450,25,4,48,18.41,1
37,144417,8863,766,16,3,60,17.15,0
64,64178,414289,453,16,2,24,5.9,1
48,96362,475399,524,15,0,12,11.21,0
50,111479,438309,803,12,2,48,17.84,0
49,144044,185968,356,4,3,24,13.57,0
26,102687,134650,692,33,4,48,23.28,0
55,143325,454760,400,18,3,60,6.69,0
61,78196,333236,502,28,4,36,10.47,1
57,47400,221792,358,28,3,24,22.67,1
44,28536,479086,508,26,2,48,6.74,1
49,148772,337405,315,11,0,12,19.08,0
51,99607,203459,632,4,1,60,12.71,0
55,53100,408827,794,29,4,60,6.42,1
53,47947,56508,619,28,4,12,15.73,0
41,88532,329966,507,22,4,36,24.45,1
52,95398,254957,682,0,0,60,20.28,0
43,74413,282963,580,4,3,60,15.67,0
53,97841,109579,648,3,2,24,15.11,0
23,50860,449251,618,10,0,12,21.72,1
38,139390,37467,340,13,4,60,18.97,0
45,28727,123985,608,31,2,12,9.65,0
62,104385,405670,451,35,1,36,16.87,0
51,148791,86042,756,12,0,24,15.16,0
23,128771,266889,755,31,1,60,10.79,0
60,24215,25227,393,8,3,48,19.72,0
44,105124,395990,690,30,0,36,24.14,0
52,105826,339117,528,16,0,48,22.56,0
42,75494,164776,796,12,3,36,16.55,0
43,100545,373657,770,29,2,12,20.04,0
22,16144,18159,382,25,1,12,16.91,0
47,134170,185895,491,10,4,12,15.8,0
62,141223,19303,755,2,3,48,6.52,0
22,95171,437076,345,18,0,24,16.06,0
46,132917,342010,761,21,0,60,19.51,0
37,134416,62551,400,21,3,24,16.19,0
60,133501,267304,534,31,0,48,17.22,0
53,15537,442537,612,6,3,60,7.43,1
29,129233,348858,661,23,0,12,7.05,0
63,91552,337094,544,8,4,60,14.29,0
59,50453,58709,547,24,0,36,5.78,0
49,16980,441161,562,21,0,12,22.06,1
62,86442,352020,462,23,4,24,5.57,1
46,103966,486331,496,6,0,48,6.2,1
55,110934,217828,841,22,0,36,19.96,0
45,56988,406459,782,0,4,36,11.32,1
44,146123,258098,507,36,2,60,16.28,0
33,39818,441841,435,35,1,60,5.52,1
27,147758,140777,680,4,0,36,10.86,0
56,123336,348484,522,22,0,60,15.88,0
40,138574,481880,319,20,1,48,9.3,0
21,23545,414309,756,14,4,24,17.96,1
28,131377,112459,585,1,0,36,20.14,0
36,23484,66662,745,20,0,48,11.93,0
34,38667,232642,632,17,1,60,10.77,1
32,85111,213510,325,39,1,48,18.36,0
43,101492,373565,744,17,0,36,18.45,0
35,142000,304844,632,17,4,36,9.3,0
48,91206,71685,414,14,1,36,8.74,0
54,107476,138631,315,10,1,48,24.41,0
22,113941,15369,637,11,1,24,19.37,0
52,55747,196171,443,0,0,60,9.91,0
43,74749,300979,836,34,3,36,18.21,0
42,24491,381191,313,31,1,36,9.44,1
45,68100,416429,508,9,1,60,21.44,1
42,138569,107587,320,11,0,48,17.33,0
42,23903,169762,390,22,0,24,11.4,1
62,107722,159202,823,26,4,12,13.27,0
26,72782,379653,321,0,2,60,23.89,1
35,92261,219542,709,32,4,24,16.56,0
63,92606,237358,455,38,2,36,16.18,0
57,51109,72580,458,18,3,36,10.03,0
53,96604,130861,386,22,0,60,12.45,0
28,86086,43581,636,10,3,60,22.32,0
64,40443,361670,706,3,4,36,16.04,1
64,130155,438081,819,2,0,60,19.07,0
25,145560,72133,309,10,3,24,12.69,0
59,77358,125397,329,8,3,12,22.83,0
24,102825,72857,557,23,3,12,12.36,0
26,114385,321154,577,38,3,36,10.27,0
52,77280,265166,432,8,0,12,18.74,0
50,51852,428864,756,14,1,12,20.98,1
55,60021,424813,496,0,1,36,10.0,1
60,120932,330655,575,10,2,48,14.26,0
36,21195,170157,776,38,4,60,9.39,1
33,92674,134157,497,22,4,36,12.64,0
62,41719,360731,623,8,1,12,16.38,1
50,113576,298621,783,5,0,48,22.06,0
39,63450,167729,484,11,4,60,12.67,0
37,35028,319851,832,14,2,60,14.21,1
39,31192,353361,316,2,2,24,6.93,1
48,98636,481693,378,0,4,60,13.75,1
46,86812,191528,326,12,0,36,19.47,0
57,42551,98910,638,32,0,36,16.15,0
46,135920,71605,775,10,0,48,22.77,0
43,76444,103801,410,15,1,24,16.58,0
29,28654,461117,670,2,4,24,15.97,1
32,15203,201712,668,15,0,12,18.09,1
21,131284,57905,778,31,3,24,21.0,0
21,87150,403258,312,25,3,12,5.6,1
54,142812,156491,403,27,2,24,19.32,0
52,121154,370652,531,26,3,36,8.46,0
45,143062,55999,471,16,2,12,6.26,0
60,74199,376788,839,26,1,36,17.86,1
21,72039,63921,768,11,1,24,20.03,0
36,92232,318868,591,34,3,36,16.55,0
59,116683,159421,504,18,4,12,15.11,0
25,65750,167699,847,32,0,36,10.86,0
42,31119,448351,428,16,0,60,8.29,1
49,39017,109738,470,8,4,24,15.81,0
23,36497,240858,796,11,2,36,20.19,1
32,18372,37264,662,32,2,60,12.01,0
46,103683,457620,494,14,2,36,9.98,1
36,32453,271791,843,28,0,36,15.45,1
57,127716,35627,679,12,3,36,6.36,0
42,66928,78076,613,2,4,12,23.11,0
49,48960,227683,735,34,1,36,17.73,0
34,32197,185350,497,20,1,24,14.57,1
48,114456,365104,644,38,0,48,15.18,0
25,147955,52878,583,34,0,36,16.41,0
50,31651,356454,530,34,0,36,24.56,1
25,17812,18300,763,35,4,60,11.13,0
32,110981,198334,414,30,4,24,6.57,0
36,21562,116562,375,12,4,60,23.02,1
46,85713,233984,745,31,4,12,23.96,0
46,35469,384101,592,17,4,12,17.39,1
41,132538,88534,376,17,2,24,17.93,0
59,111765,81172,649,9,1,48,8.75,0
56,108523,103402,670,15,3,48,5.13,0
53,103641,170346,622,22,2,48,17.64,0
50,97969,434459,479,30,1,60,20.42,0
57,33217,166002,718,33,1,60,6.32,1
43,111844,204865,667,28,2,12,21.5,0
30,99895,17566,695,15,3,48,14.57,0
25,88497,364092,840,29,4,60,21.61,0
56,22186,281260,585,24,4,24,7.13,1
54,110761,36507,636,36,2,36,17.67,0
51,139272,382207,608,36,1,60,18.98,0
30,22791,123162,518,18,2,36,15.52,1
39,108133,38003,690,31,0,60,18.12,0
52,87306,140825,345,36,1,60,16.69,0
21,24893,336843,310,38,2,48,13.25,1
25,104854,293700,315,11,4,36,20.63,0
24,120469,339791,481,14,2,24,23.88,0
36,139858,134837,847,14,2,24,19.77,0
44,117809,193381,350,19,1,24,9.28,0
36,38631,276535,449,5,0,24,18.83,1
22,20807,438683,787,18,2,24,17.98,1
48,145184,257487,720,28,0,12,5.94,0
52,26908,201036,558,26,2,48,20.84,1
47,76716,210416,590,34,2,24,16.73,0
40,45432,342825,661,32,0,60,22.77,1
44,115458,397039,724,18,1,36,19.65,0
32,109101,133518,593,39,4,36,8.49,0
55,122494,145081,461,35,4,48,22.34,0
53,40790,103356,822,4,0,24,15.04,0
53,52924,114525,506,19,4,12,8.83,0
63,62196,141458,569,33,2,12,11.45,0
57,118116,214611,636,6,4,24,8.37,0
32,63826,417703,832,33,4,48,17.65,1
23,72970,431174,711,27,2,36,18.31,1
21,148528,277054,401,38,1,24,20.38,0
53,42892,438338,845,21,3,36,10.58,1
60,32740,292550,364,39,2,36,7.35,1
30,26788,172312,514,37,2,48,6.97,1
63,104381,174113,660,29,4,48,24.34,0
64,127569,220090,611,20,3,48,11.36,0
49,41515,393384,369,39,3,60,10.66,1
33,70674,40353,309,8,1,36,14.68,0
32,62767,474269,515,35,4,60,24.11,1
51,130737,398666,490,12,4,24,23.76,0
22,54644,150246,518,32,3,60,19.61,0
55,53741,156885,708,25,3,12,12.13,0
43,80121,364633,501,0,1,36,9.75,0
37,101549,13956,680,1,4,36,6.01,0
46,39660,330118,516,35,1,60,9.82,1
28,17639,48513,405,29,2,36,6.08,0
49,101856,38249,355,15,1,24,18.24,0
46,87009,56559,453,8,2,48,13.48,0
30,25622,282182,367,14,0,60,20.77,1
46,133192,281624,756,38,1,36,13.79,0
54,33808,9648,791,21,4,48,13.04,0
61,145473,414675,310,14,4,12,21.99,0
27,37951,414382,736,3,3,12,16.69,1
24,131909,296488,713,15,0,60,23.88,0
31,136522,146599,530,10,3,48,11.16,0
49,146469,362524,436,31,3,12,17.8,0
56,29665,334140,822,21,4,60,22.79,1
45,29560,45269,700,0,1,60,16.48,0
41,41376,346057,349,25,2,12,10.22,1
56,113042,344120,779,2,0,36,12.74,0
30,123304,329934,352,31,3,24,17.34,0
57,33328,138070,507,32,2,36,9.86,0
29,135087,40358,409,32,3,24,14.86,0
44,63998,386864,749,1,0,48,19.21,1
55,134292,53071,470,21,0,12,13.51,0
55,79853,291918,341,11,3,60,14.96,1
56,117304,408875,678,1,2,36,15.75,0
38,65217,137169,808,36,3,48,24.38,0
59,81139,106798,515,7,2,36,18.57,0
52,86831,203749,837,16,3,60,19.15,0
44,22103,61172,846,3,4,60,13.89,0
43,29546,470255,376,0,2,60,7.48,1
52,33228,61488,347,5,1,48,15.16,0
57,15046,242864,322,39,1,48,15.71,1
32,81355,425100,364,21,0,48,5.34,1
33,147152,368220,819,34,1,12,12.26,0
43,130965,180877,792,39,2,12,12.02,0
45,92462,103621,800,10,2,12,22.51,0
55,30930,447639,672,1,1,24,20.4,1
61,128476,314455,440,17,0,12,6.63,0
50,95823,219359,476,8,0,36,18.96,0
37,115521,208629,404,5,1,36,16.23,0
40,93880,48410,430,33,4,60,17.26,0
45,22293,126938,839,11,4,12,5.93,1
42,83542,401527,326,20,3,12,11.78,1
33,75528,473602,640,25,1,60,5.36,1
39,123885,231980,822,9,4,24,10.59,0
56,69669,231879,515,15,2,36,22.15,0
32,32602,292162,311,14,4,12,20.05,1
61,24952,275944,306,22,1,48,18.5,1
39,56684,432076,583,20,2,60,24.66,1
32,131032,8784,709,15,3,36,6.92,0
29,47905,191836,757,10,3,36,8.32,0
27,68602,168462,405,19,2,24,17.34,0
48,28381,220849,449,20,1,60,19.17,1
34,43130,465696,565,15,2,36,21.26,1
51,45415,433855,490,10,1,12,21.62,1
39,99679,210742,541,32,2,36,10.85,0
36,130458,233203,494,21,0,36,15.62,0
25,146460,404820,387,24,3,48,22.77,0
55,92652,473401,666,32,4,36,19.14,1
32,79333,227548,784,36,2,48,19.08,0
45,125930,446801,660,33,3,60,9.45,0
41,19852,45407,415,14,3,48,19.85,0
56,115286,138210,731,0,2,36,24.83,0
43,128120,79016,790,3,4,36,7.6,0
36,91596,224929,762,16,4,48,7.11,0
59,141697,76651,655,27,2,24,23.09,0
62,23209,303256,779,31,2,36,19.76,1
59,68482,389532,820,7,0,48,14.45,1
34,53197,159604,723,35,3,24,10.86,0
51,92694,405897,683,35,1,60,9.22,0
25,132458,75222,513,18,1,36,10.88,0
55,134614,306611,421,23,4,60,24.97,0
43,104484,117321,560,2,1,48,7.66,0
49,27705,187854,306,13,2,48,12.22,1
63,68832,148907,758,31,1,48,21.65,0
31,102367,116149,327,11,4,24,19.08,0
38,69612,282425,721,30,4,36,7.91,1
32,124165,422514,791,33,3,24,22.92,0
29,88501,87143,657,30,0,60,17.74,0
30,25248,295370,780,35,0,24,24.55,1
64,61988,376458,600,31,2,36,14.65,1
37,104169,203129,688,34,4,60,23.99,0
58,110039,252414,364,31,1,24,13.99,0
27,22461,43816,462,15,3,48,13.68,0
33,34870,393652,410,0,1,24,23.02,1
60,28410,42912,545,39,3,24,19.32,0
62,102721,468524,723,12,4,48,10.56,1
29,34133,338987,723,10,0,36,10.65,1
47,104705,36010,823,10,1,48,9.81,0
22,38359,213658,546,24,0,48,18.57,1
25,42400,408500,713,4,4,36,5.47,1
49,49173,83191,372,20,4,12,16.9,0
57,26179,460890,658,34,1,24,24.02,1
58,116879,136808,705,11,4,48,5.94,0
39,50495,34594,648,12,2,36,11.45,0
28,21487,113893,675,2,1,36,15.96,1
21,29760,67238,707,11,0,12,20.05,0
42,142600,267054,708,33,2,60,18.44,0
37,106975,93898,426,19,3,24,22.64,0
27,107465,131357,733,38,0,36,10.09,0
45,44403,380731,422,3,2,12,21.31,1
24,130625,235409,477,6,3,24,9.44,0
56,123576,152316,415,2,2,12,11.48,0
26,16755,404879,792,12,0,60,9.95,1
51,143500,83881,459,28,2,48,18.77,0
39,86352,89201,819,20,1,24,8.25,0
64,130891,143420,395,24,2,36,12.02,0
59,91759,43801,327,2,4,48,16.54,0
47,127133,75155,423,29,4,36,8.9,0
30,22688,331381,433,38,1,48,22.91,1
46,84282,113223,776,21,3,12,24.15,0
39,63443,393024,313,1,4,36,17.96,1
59,134086,314087,472,8,4,60,7.81,0
23,51397,439561,614,3,1,48,11.08,1
33,88302,244888,381,7,3,12,23.73,0
48,128417,66363,652,18,0,24,6.34,0
40,16063,59091,340,20,4,60,22.73,1
48,90848,146638,396,13,4,12,11.55,0
28,81512,431497,536,0,4,24,21.09,1
61,125687,62370,642,19,0,48,10.77,0
59,141230,215841,761,18,3,24,24.23,0
21,143167,431648,493,15,0,24,10.13,0
23,29612,105491,632,9,2,12,7.99,0
33,54170,181016,583,1,0,24,6.85,0
48,80881,27208,714,0,0,60,11.38,0
45,137092,437222,568,7,3,36,10.05,0
53,130764,289839,814,8,1,12,6.7,0
58,149842,448908,840,38,0,48,6.99,0
26,135340,342627,670,17,4,24,12.31,0
64,59121,344995,363,14,2,60,13.53,1
52,88960,197248,393,15,2,36,16.27,0
41,26990,253391,631,20,4,24,12.55,1
36,109258,44925,425,24,3,36,11.01,0
41,142640,13499,507,23,0,36,21.74,0
31,59659,49429,651,15,3,24,21.08,0
57,47137,99341,801,8,3,24,24.28,0
56,30573,48793,420,37,0,36,12.04,0
55,24554,278700,355,14,4,36,14.93,1
39,122804,367441,413,12,0,24,12.86,0
40,97164,267847,818,23,1,60,15.88,0
38,28015,470390,595,32,3,48,18.65,1
61,126175,398570,556,11,3,24,24.17,0
